Maze_ID,time_taken,distance_traveled,endpoint_X,endpoint_Y,target_X,target_Y,distance_to_target,n_fixations,mean_fixation_time,fixation_std,fixation_locaion,n_fixations_2d,mean_fixation_time_2d,fixation_std_2d,fixation_locaion_2d,calibration_quality
1,20.4194012,0.219968401686935,-8.2681916614877,-14.074701712903,8.5,-8.5,17.6705843362417,18,0.858346666666666,0.834088872999522,14.1206527274182,17,0.907243505882353,0.00638885713489028,0.0178144655143678,0.988636134643278
3,25.7289178,0.338678536959411,-9.08238662474204,-10.8285885688891,-7,-10,2.24118117772709,24,0.688467387499999,1.13683492786219,98.8793006955918,33,0.571293884848485,0.00754490495596178,0.0176706012550055,NaN
2,21.8341279,0.168637793481813,-4.71392072858676,8.11477235534107,-10,7,5.40234684816677,23,0.618755252173913,1.22866985868189,337.839857911796,28,0.466280678571429,0.00806260300697535,0.0183092456746968,NaN
2,20.3515989,0.134469899488977,-5.37132833307934,7.05845490665846,-10,7,4.62904076200097,19,0.701873778947369,0.767833678012897,331.555375717564,24,0.539845720833333,0.00850228378033589,0.0183556048496627,NaN
3,19.8652716,0.430760015156279,-9.25947676940778,-14.6868241341554,-7,-10,5.20303332066929,21,0.705000947619048,0.984383874245636,47.7091485475848,18,0.703839566666667,0.00636585341531209,0.0172824999901225,NaN
1,22.4802856,0.364118867934601,-13.2163273469542,-12.3111455358743,8.5,-8.5,22.0482131642382,24,0.6680189125,1.05667345007134,85.5705306528538,24,0.615805854166667,0.00685282397366496,0.0165712550097318,NaN
2,17.6559213,0.20213924568048,-7.43979329890482,9.12370934567358,-10,7,3.32637937361841,17,0.705550264705883,0.799912615748698,326.94472151499,13,0.889607023076923,0.00606668063579269,0.0167507234344911,NaN
3,17.413361,0.403896642922454,-10.6522039411203,-13.7481726875308,-7,-10,5.23329648721397,16,0.6962581625,0.894454096920398,28.6198646089168,16,0.765866325,0.00549057714329019,0.0167910922720452,NaN
1,12.3600827,0.24355878581998,-10.2789071989764,-13.3597463416729,8.5,-8.5,19.3975382482719,8,0.9445451125,1.08214704286354,16.3049755860813,14,0.5486959,0.00462230169712824,0.0190277940949733,NaN
1,15.1983274,0.318848700614504,-11.3697449871474,-12.5705125702484,8.5,-8.5,20.2824021861026,14,0.641542921428572,0.991330832113854,347.669178448897,16,0.5455720375,0.00417769922230953,0.0162552169989066,NaN
3,18.5142914,0.242503647740012,-8.31431398368785,-12.6968217750725,-7,-10,3.00004482203563,15,0.759475453333333,0.561787066849176,66.5948742396934,19,0.645820963157895,0.00690583390862698,0.0183126620023826,NaN
2,10.5953689,0.0736045584148282,-5.0454251911663,9.15775136121615,-10,7,5.40404501028254,12,0.58554235,0.299030888530143,314.063002146542,11,0.629390109090909,0.00619852613281733,0.0179490274413576,NaN
1,9.1722924,0.271497506346061,-10.8573140978091,-15.4654674417998,8.5,-8.5,20.5723928059915,6,0.883676883333333,0.609214635374496,60.2410095283147,8,0.551860275,0.00546652846980618,0.0178346065059518,NaN
2,24.9060029,0.147991092959831,-7.301751247556,10.9676993174657,-10,7,4.79824803484393,14,1.30155594285714,0.80070073303488,316.462215531699,28,0.648542289285715,0.00815131704972398,0.0153650004313854,NaN
3,28.1110072,0.235330713417577,-6.65296215906978,-12.0202549768722,-7,-10,2.04984522211173,29,0.687797837931035,0.963480406485262,64.5713457679715,35,0.53533164,0.0068381547034648,0.017471047577551,NaN
3,9.9716452,0.334380417613321,-5.02689511664756,-10.9383784881802,-7,-10,2.18487918837372,7,0.9823534,1.15328058026885,79.4509716398332,7,0.750737785714286,0.00390114387405237,0.0141690171647761,NaN
1,11.142692,0.177798564490095,-7.56357969074831,-12.2879165618602,8.5,-8.5,16.5041480955739,9,0.657965855555556,0.523755565887759,47.5902482939519,15,0.427629406666666,0.00830377886136559,0.0166079453409394,NaN
2,10.183064,0.199459980199551,-6.40017239685562,6.4907519739571,-10,7,3.63566944652409,8,0.6877280375,0.758740287903159,337.192799566655,10,0.5051367,0.00718185916362436,0.0192333366596215,NaN
3,12.5594006,0.179526442155893,-6.83392590917141,-14.261422013026,-7,-10,4.26465686506513,13,0.535161353846154,0.812125676639064,70.5470635925045,13,0.423043446153846,0.00348397071034854,0.0171328014435731,NaN
2,26.8762702,0.253265239760644,-5.16146184406137,11.3087958701589,-10,7,6.47897934378342,14,1.4292698,0.95444441476528,302.176354134836,23,0.8168537,0.00725339445531295,0.0171737079355815,NaN
1,11.3149245,0.194550517939223,-9.01763230970128,-15.7356666711971,8.5,-8.5,18.9531610533589,11,0.560115918181818,0.702431997854239,38.4260893591394,12,0.542058533333333,0.00559950381147015,0.0160377935521339,NaN
1,10.7486609,0.184499075059464,-7.1347496435289,-16.1397233499388,8.5,-8.5,17.4014588261855,7,0.9330648,0.669986203897186,41.0735120193207,10,0.66770897,0.00355630258744162,0.0211656536235547,NaN
2,12.5586885,0.19430189417257,-9.55700653118042,7.76019457165084,-10,7,0.87985169215284,10,0.87659203,0.422286846183684,308.261634393577,15,0.526229573333333,0.0101283316718599,0.0162219177423681,NaN
3,9.4969035,0.210906769903987,-5.2822653001388,-13.2874997527009,-7,-10,3.70921381469386,5,1.10107434,0.948151211812612,56.9041461459023,8,0.4956037,0.00416898650751278,0.0186764881816918,NaN
2,7.4667935,0.106817364881814,-4.75283882082497,10.9395768657465,-10,7,6.5614759255343,3,1.1232844,1.07766206755149,332.348355992956,6,0.572933816666667,0.00763075394747834,0.0172576492607044,NaN
3,11.2339088,0.235686803626635,-5.37702745005938,-13.6265697778328,-7,-10,3.97316602363289,8,0.8658069875,1.07441699012056,57.8153434634357,7,0.769549871428571,0.00707833471255719,0.0181415650158074,NaN
1,12.9515921,0.312235643515667,-7.43349078095529,-16.7010911075318,8.5,-8.5,17.9202127169525,13,0.700267246153846,0.649275275329182,357.224591803979,12,0.694580166666667,0.00315705563853363,0.016978248453314,NaN
2,13.8422863,0.16208974575557,-3.30071030463527,9.96719683254879,-10,7,7.32698706601203,8,1.1448697,0.872859386256447,307.950779855891,12,0.685749333333334,0.00944134026640242,0.0144393326148269,NaN
1,8.1694942,0.231776598597451,-11.0347688558977,-13.7771553564742,8.5,-8.5,20.235008349633,5,0.76117156,0.469504578270315,32.8644647617148,7,0.639521628571429,0.00449737596861209,0.0176291241854335,NaN
3,9.1659436,0.187219704969995,-6.94444850994654,-13.7271495646772,-7,-10,3.72756352669152,8,0.551719025,0.822120364293223,63.1467127163022,9,0.426642633333333,0.004907966522796,0.0163463822807749,NaN
