Maze_ID,time_taken,distance_traveled,endpoint_X,endpoint_Y,target_X,target_Y,distance_to_target,n_fixations,mean_fixation_time,fixation_std,fixation_locaion,n_fixations_2d,mean_fixation_time_2d,fixation_std_2d,fixation_locaion_2d,calibration_quality
3,8.6274358,0.148089941919086,-7.15677911410144,-10.9667083091734,-7,-10,0.97933888192149,8,0.6604489125,0.975477418797568,30.231343059991,8,0.609479725,0.00246585147788381,0.0159964969880007,0.901640936652317
2,10.4434343,0.149904627815983,-8.91987779617235,9.49126444170009,-10,7,2.7153383755401,8,0.8445326375,1.01063912286299,323.677355126809,9,0.613946888888889,0.00316568580053228,0.0167794878071363,NaN
1,9.837676,0.194276631108003,12.5871657539004,-6.39578628336861,8.5,-8.5,4.59702504508248,9,0.544357877777778,0.734348340058461,124.497272492653,11,0.398422327272727,0.00657870278186753,0.0133924692880238,NaN
2,9.9679789,0.0416445439959599,-11.1912863810658,8.71990307719741,-10,7,2.09218303134931,8,0.7493090375,0.762108712886971,339.255476402618,10,0.47087066,0.0062889271344913,0.0164501157285508,NaN
3,8.648685,0.131867223729376,-9.96797913589238,-4.54543866138071,-7,-10,6.20976163373867,5,0.89369646,0.909401638014426,65.8991139731284,7,0.566228842857143,0.00344192730473975,0.0175274327659432,NaN
1,8.7149111,0.202472348085752,9.82688081164742,-8.94350562580557,8.5,-8.5,1.39903893028011,5,1.12077642,0.926334337799604,137.933747250098,5,0.92284636,0.00415295853707864,0.0198327501228376,NaN
1,10.0761901,0.105547079049075,9.09342811163525,-4.96066703746955,8.5,-8.5,3.5887372073382,10,0.51955818,1.07605257782493,123.731421970321,8,0.487191925,0.00595174544192449,0.0162981375801875,NaN
3,11.92802,0.239874606680307,-8.04324598676358,-9.11995812175231,-7,-10,1.36485746375511,9,0.738850022222222,0.47110483640874,31.7736942372958,16,0.45063211875,0.00676983836628275,0.0158540045004523,NaN
2,9.8101284,0.204529552183554,-7.51724284159711,9.29284051194357,-10,7,3.37952670070979,8,0.59923455,1.0111232607165,342.507504341336,11,0.476966718181818,0.00368518298412015,0.0165996296853569,NaN
1,8.7218469,0.234272927794387,9.77243469862589,-8.33964013652156,8.5,-8.5,1.282499648375,6,0.80007995,0.924482861184264,139.885893351717,4,1.049362925,0.00275467893438639,0.0168638069245947,NaN
2,9.3417768,0.173932386606364,-7.6989588055274,10.6140239893715,-10,7,4.28438560057478,7,0.744592457142857,0.606003769153809,281.023260102214,9,0.511327566666667,0.00613356583559549,0.0192643571063687,NaN
3,9.7292942,0.171576401579365,-5.30703822913765,-7.27145181051136,-7,-10,3.21108934474939,8,0.6722403625,0.999505160551337,44.8149065689813,10,0.45783946,0.00419475632207717,0.0197547344733936,NaN
2,8.8176574,0.115605751765849,-9.67902985629524,9.53427278772097,-10,7,2.55451764443561,5,0.73744864,1.24215698409959,278.422158684969,5,0.5916874,0.00915957479077642,0.0193122255200686,NaN
1,10.5318606,0.239462281191282,6.5238296377798,-11.2050241492023,8.5,-8.5,3.34998581314688,8,0.7823788875,0.680036651863051,117.695881318706,8,0.7648229875,0.00769896390935381,0.0193743763405734,NaN
3,6.1993641,0.222182195251861,-6.45717622104471,-10.521148764547,-7,-10,0.752498298860635,4,0.79433815,0.365205389167833,41.1388682348021,4,0.523178625,0.00371256440671635,0.0186671184873628,NaN
1,5.2193038,0.0904688860854218,12.6945010716785,-10.2124386278504,8.5,-8.5,4.53059436437057,4,0.457489525,0.322132145946339,109.991376058496,5,0.3715227,0.00607039700025874,0.0205024942990548,NaN
3,12.0252289,0.20824525961875,-7.44291181167989,-9.83298808565288,-7,-10,0.473353834313666,11,0.6515113,0.707297074348948,26.7184325460528,11,0.520534490909091,0.00424182126736844,0.0206010062005302,NaN
2,6.4446849,0.130222955737458,-10.5171504336942,8.15323891948468,-10,7,1.26388471645332,6,0.34496795,0.893099501986949,282.5980964738,5,0.3986979,0.00899152631795692,0.0196048193796833,NaN
1,8.5614088,0.232206257542668,11.6101223668604,-8.54185742525295,8.5,-8.5,3.11040402213186,7,0.661373157142857,0.970892256234703,194.587483215136,9,0.527676344444445,0.00585745477806968,0.0184701583850148,NaN
2,5.8461714,0.0455572524201816,-11.0800399236715,9.23718787343419,-10,7,2.48424954820672,3,0.919942533333333,0.658870786495821,333.317976755688,5,0.47633146,0.00809122071516577,0.0186570948401991,NaN
3,10.968079,0.317176641101631,-5.67568939884018,-5.26903844149283,-7,-10,4.91281954038787,8,0.837083975,1.06767781257242,54.609015370275,12,0.489444658333333,0.00394380916560693,0.0181404782263669,NaN
3,5.418131,0.116028231946652,-3.49829085849103,-11.6130429430921,-7,-10,3.85536956049441,3,0.8878838,0.474515520598002,75.00352758838,5,0.5554117,0.0040440396878227,0.0178913874427625,NaN
1,6.4376392,0.15041984409418,10.9361310654283,-1.61773775917922,8.5,-8.5,7.30070326197226,3,0.948500766666666,0.468256041750661,125.411336670082,7,0.430075842857143,0.0077057851692585,0.0160988396333859,NaN
2,8.6075662,0.1476391037747,-5.33176313218346,5.10821411434257,-10,7,5.03699208766643,7,0.551070657142857,1.15208361583198,313.360267331808,9,0.2820921,0.00770592935163077,0.0160434440663158,NaN
2,7.1257023,0.142968902345316,-9.26004268236585,9.07844972503155,-10,7,2.20623890170671,6,0.5640155,1.25803352332086,270.404623968802,4,0.4487716,0.00235459773729761,0.0201426230163054,NaN
3,5.9738411,0.142808535845013,-4.11190733062574,-9.50205149087209,-7,-10,2.93070503200784,5,0.54529504,0.479324417366726,48.1173124291875,4,0.5411667,0.0047500240719944,0.0197923765876642,NaN
1,4.8839412,0.0567442654135307,11.1201884142892,-6.51884094716039,8.5,-8.5,3.28487115714206,3,0.582863833333333,0.459536705599591,123.342818038845,5,0.4402913,0.00755943860405426,0.0198291223235896,NaN
1,9.1893081,0.224545144601925,9.08490796585513,-9.77067077739174,8.5,-8.5,1.39882863605165,8,0.6542370625,1.18441848232129,151.868444920109,10,0.46911137,0.00574580275534969,0.0173986939376974,NaN
3,8.9679391,0.172115875073443,-5.33081508685575,-7.50774437096755,-7,-10,2.99958603722452,10,0.49741668,0.912573302136669,13.1975365310046,9,0.452997477777778,0.00699201959045094,0.0160448668131876,NaN
2,5.2372668,0.0884299077474926,-6.92999978320553,10.0811322972137,-10,7,4.34951463545663,4,0.654157875,0.913082700464208,356.318211059462,3,0.592420933333333,0.00113782209659576,0.0160086970360005,NaN
