Maze_ID,time_taken,distance_traveled,endpoint_X,endpoint_Y,target_X,target_Y,distance_to_target,n_fixations,mean_fixation_time,fixation_std,fixation_locaion,n_fixations_2d,mean_fixation_time_2d,fixation_std_2d,fixation_locaion_2d,calibration_quality
1,45.6063326,3.10972864644444,10.6772363353543,-6.52909154010484,8.5,-8.5,2.93680748726796,46,0.670775065217391,1.37490144038009,24.3410089600865,39,0.788891894871795,0.0034588245280249,0.0166048904449636,0.996225029042684
1,6.5565959,0.373485005551485,7.65832535851134,-11.2562061647341,8.5,-8.5,2.8818550665575,7,0.568245085714286,1.06260752940697,142.43472515428,9,0.475906622222222,0.00555183477744272,0.0146056526404246,NaN
1,4.6263037,0.22553344885887,6.3487431535039,-10.5751021030764,8.5,-8.5,2.98897219086903,4,0.88860605,1.34189143027506,126.871756293693,5,0.64525452,0.0043091410679601,0.019306318602486,NaN
1,8.7352773,0.263282918688942,6.01379122422772,-6.98761792952902,8.5,-8.5,2.91007450141903,9,0.715890955555555,1.09591276955811,105.567629490982,11,0.551227063636363,0.00510878532323987,0.0157067584754415,NaN
1,6.8020216,0.18441651742824,7.55096171427471,-5.74588664736716,8.5,-8.5,2.91304205718402,8,0.679995175,1.08966236898789,136.843234180413,10,0.50567996,0.0101732002100393,0.0152806357912258,NaN
2,29.7965949,2.39986752173883,-11.3903613001643,4.37772420540625,-10,7,2.96806921885372,38,0.588825610526316,1.34391677354653,247.100377342575,26,0.820769511538462,0.00541230634713123,0.0184952683769001,NaN
2,6.4700264,0.304626096754383,-11.5906542528037,4.48593507293666,-10,7,2.97501317803008,7,0.716061457142857,0.954485170232222,290.022458150385,5,1.04351,0.00364799222796563,0.0155546835551033,NaN
2,10.5458651,0.493616588345204,-7.12514731087902,6.14858335079985,-10,7,2.9982808898903,11,0.665400745454546,0.966821926147089,341.81520263728,14,0.471653157142857,0.00477209693865554,0.0151605813187755,NaN
2,8.186635,0.252918581460659,-11.1073272787101,9.72766949640381,-10,7,2.94386728365723,5,1.19211544,0.637412399197736,13.1865677183316,10,0.5664533,0.00445652083074934,0.01627408068748,NaN
2,5.8355288,0.196737144363144,-9.35995816740481,4.12894004970912,-10,7,2.94153680677908,6,0.685714283333333,1.16327074774279,348.64312311088,5,0.74112358,0.00492379041137239,0.010589134180248,NaN
3,20.1335848,1.15805421023284,-8.65351149269963,-7.53008831926756,-7,-10,2.97229944102345,22,0.664353804545454,1.35191780624613,39.5848788392363,19,0.747224089473684,0.00467434221985218,0.0162397241436142,NaN
3,6.8596877,0.214673740211812,-7.10926915714516,-7.00909640919581,-7,-10,2.99289893551196,7,0.5863602,1.08805582550747,84.8091709631931,7,0.6803134,0.00699742393267103,0.0109290701249037,NaN
3,5.3445344,0.233588319104744,-9.83912566270338,-10.7003013277386,-7,-10,2.92421895183197,6,0.5213032,1.17299365791846,86.2247135219937,9,0.4152496,0.00563824582752928,0.0134539246667208,NaN
3,4.0571349,0.183893946243433,-4.23751617551161,-10.957407750319,-7,-10,2.92368713800416,4,0.6368048,0.958567344942294,65.5194622320508,5,0.46266704,0.00588489187157756,0.0158064298026249,NaN
3,3.7332877,0.177445577817845,-6.68278644251169,-7.08789999283806,-7,-10,2.92932601339744,3,0.8446957,1.14869303182811,43.1216374657365,4,0.62935985,0.0061788185145591,0.0118283933109374,NaN
