Participant_ID,Session,Used_For_Classification,Maze_ID,time_taken,distance_traveled,endpoint_X,endpoint_Y,target_X,target_Y,distance_to_target,n_fixations,mean_fixation_time,fixation_std,fixation_locaion,n_fixations_2d,mean_fixation_time_2d,fixation_std_2d,fixation_locaion_2d,calibration_quality
PID10,1,True,1,4.5069899,0.171159538628705,5.58430196527924,-8.87080737428435,8.5,-8.5,2.93918239285999,5,0.75542462,1.35962371407834,322.215816647151,5,0.7882802,0.0060569563144045,0.0177723316735749,0.9974864631512
PID10,1,True,1,10.0026064,0.186404370048842,10.5586267786077,-6.3644599868967,8.5,-8.5,2.96622240588364,8,0.98764775,0.827994892815106,131.987712146946,7,1.29590024285714,0.005433991331627,0.021421218808641,
PID10,1,True,1,8.9919747,0.30169594905523,9.49530550419294,-5.69869299674502,8.5,-8.5,2.97286965290477,8,0.82572785,1.09330031160619,97.0795576870971,10,0.65917776,0.0041855788123218,0.0214132505267414,
PID10,1,True,1,12.4746864,0.416952382301435,5.75039703746073,-7.52080878245056,8.5,-8.5,2.91875519564945,8,1.226374775,1.12500743782183,89.0409334166561,13,0.764869646153846,0.0059946549679007,0.0196861052972107,
PID10,1,True,1,7.2680456,0.315936119590387,8.52359564198004,-5.56318974049252,8.5,-8.5,2.9369050469276,7,0.599755985714286,1.30359941822125,133.441894905029,10,0.50640097,0.0044685375999889,0.0234424473133914,
PID10,1,True,2,30.6919684,2.79170017189288,-10.0270030164268,9.93118690461643,-10.0,7.0,2.93131128212119,26,0.6982845,1.24508007434967,241.925068364983,24,0.919661504166667,0.0053380036433874,0.0171196193765281,
PID10,1,True,2,12.2373571,0.355344917281338,-12.489841303699,8.58431310206212,-10.0,7.0,2.95116209703421,14,0.6063932,1.3450152015321,342.354562451168,12,0.735974775,0.0042731676235826,0.0193872808287349,
PID10,1,True,2,7.2867305,0.243029787367588,-12.3973528784843,5.2432929414932,-10.0,7.0,2.97209025996595,7,0.733826914285714,1.29577036262414,280.134573743732,7,0.704646271428572,0.0052908066343003,0.0185669806107941,
PID10,1,True,2,2.7560904,0.165147774610737,-7.06327601915563,7.24164066632965,-10.0,7.0,2.94664859650598,3,0.499202366666667,1.16324445245246,320.861150931239,3,0.637060433333333,0.0022004987574623,0.0189419427140951,
PID10,1,True,2,3.180621,0.171520698874032,-8.21550982879864,4.71086032533921,-10.0,7.0,2.90251022758239,3,0.498258433333333,1.00807735401382,0.0206161383118513,2,0.44364925,0.0074647939988808,0.0229787240313116,
